Value,Computed
Winter '01,12/01/2001-02/28/2002
Winter 01,12/01/2001-02/28/2002
Winter 2001,12/01/2001-02/28/2002
2001 Winter,12/01/2001-02/28/2002
Spring '01,03/01/2001-05/31/2001
Spring 01,03/01/2001-05/31/2001
Spring 2001,03/01/2001-05/31/2001
2001 Spring,03/01/2001-05/31/2001
Summer '01,06/01/2001-08/31/2001
Summer 01,06/01/2001-08/31/2001
Summer 2001,06/01/2001-08/31/2001
2001 Summer,06/01/2001-08/31/2001
Fall '01,09/01/2001-11/30/2001
Fall 01,09/01/2001-11/30/2001
Fall 2001,09/01/2001-11/30/2001
2001 Fall,09/01/2001-11/30/2001
Monsoon '01,06/01/2001-09/30/2001
Monsoon 01,06/01/2001-09/30/2001
Monsoon 2001,06/01/2001-09/30/2001
2001 Monsoon,06/01/2001-09/30/2001
Winter '02,12/01/2002-02/28/2003
Winter 02,12/01/2002-02/28/2003
Winter 2002,12/01/2002-02/28/2003
2002 Winter,12/01/2002-02/28/2003
Spring '02,03/01/2002-05/31/2002
Spring 02,03/01/2002-05/31/2002
Spring 2002,03/01/2002-05/31/2002
2002 Spring,03/01/2002-05/31/2002
Summer '02,06/01/2002-08/31/2002
Summer 02,06/01/2002-08/31/2002
Summer 2002,06/01/2002-08/31/2002
2002 Summer,06/01/2002-08/31/2002
Fall '02,09/01/2002-11/30/2002
Fall 02,09/01/2002-11/30/2002
Fall 2002,09/01/2002-11/30/2002
2002 Fall,09/01/2002-11/30/2002
Monsoon '02,06/01/2002-09/30/2002
Monsoon 02,06/01/2002-09/30/2002
Monsoon 2002,06/01/2002-09/30/2002
2002 Monsoon,06/01/2002-09/30/2002
Winter '03,12/01/2003-02/29/2004
Winter 03,12/01/2003-02/29/2004
Winter 2003,12/01/2003-02/29/2004
2003 Winter,12/01/2003-02/29/2004
Spring '03,03/01/2003-05/31/2003
Spring 03,03/01/2003-05/31/2003
Spring 2003,03/01/2003-05/31/2003
2003 Spring,03/01/2003-05/31/2003
Summer '03,06/01/2003-08/31/2003
Summer 03,06/01/2003-08/31/2003
Summer 2003,06/01/2003-08/31/2003
2003 Summer,06/01/2003-08/31/2003
Fall '03,09/01/2003-11/30/2003
Fall 03,09/01/2003-11/30/2003
Fall 2003,09/01/2003-11/30/2003
2003 Fall,09/01/2003-11/30/2003
Monsoon '03,06/01/2003-09/30/2003
Monsoon 03,06/01/2003-09/30/2003
Monsoon 2003,06/01/2003-09/30/2003
2003 Monsoon,06/01/2003-09/30/2003
Winter '04,12/01/2004-02/28/2005
Winter 04,12/01/2004-02/28/2005
Winter 2004,12/01/2004-02/28/2005
2004 Winter,12/01/2004-02/28/2005
Spring '04,03/01/2004-05/31/2004
Spring 04,03/01/2004-05/31/2004
Spring 2004,03/01/2004-05/31/2004
2004 Spring,03/01/2004-05/31/2004
Summer '04,06/01/2004-08/31/2004
Summer 04,06/01/2004-08/31/2004
Summer 2004,06/01/2004-08/31/2004
2004 Summer,06/01/2004-08/31/2004
Fall '04,09/01/2004-11/30/2004
Fall 04,09/01/2004-11/30/2004
Fall 2004,09/01/2004-11/30/2004
2004 Fall,09/01/2004-11/30/2004
Monsoon '04,06/01/2004-09/30/2004
Monsoon 04,06/01/2004-09/30/2004
Monsoon 2004,06/01/2004-09/30/2004
2004 Monsoon,06/01/2004-09/30/2004
Winter '05,12/01/2005-02/28/2006
Winter 05,12/01/2005-02/28/2006
Winter 2005,12/01/2005-02/28/2006
2005 Winter,12/01/2005-02/28/2006
Spring '05,03/01/2005-05/31/2005
Spring 05,03/01/2005-05/31/2005
Spring 2005,03/01/2005-05/31/2005
2005 Spring,03/01/2005-05/31/2005
Summer '05,06/01/2005-08/31/2005
Summer 05,06/01/2005-08/31/2005
Summer 2005,06/01/2005-08/31/2005
2005 Summer,06/01/2005-08/31/2005
Fall '05,09/01/2005-11/30/2005
Fall 05,09/01/2005-11/30/2005
Fall 2005,09/01/2005-11/30/2005
2005 Fall,09/01/2005-11/30/2005
Monsoon '05,06/01/2005-09/30/2005
Monsoon 05,06/01/2005-09/30/2005
Monsoon 2005,06/01/2005-09/30/2005
2005 Monsoon,06/01/2005-09/30/2005
Winter '06,12/01/2006-02/28/2007
Winter 06,12/01/2006-02/28/2007
Winter 2006,12/01/2006-02/28/2007
2006 Winter,12/01/2006-02/28/2007
Spring '06,03/01/2006-05/31/2006
Spring 06,03/01/2006-05/31/2006
Spring 2006,03/01/2006-05/31/2006
2006 Spring,03/01/2006-05/31/2006
Summer '06,06/01/2006-08/31/2006
Summer 06,06/01/2006-08/31/2006
Summer 2006,06/01/2006-08/31/2006
2006 Summer,06/01/2006-08/31/2006
Fall '06,09/01/2006-11/30/2006
Fall 06,09/01/2006-11/30/2006
Fall 2006,09/01/2006-11/30/2006
2006 Fall,09/01/2006-11/30/2006
Monsoon '06,06/01/2006-09/30/2006
Monsoon 06,06/01/2006-09/30/2006
Monsoon 2006,06/01/2006-09/30/2006
2006 Monsoon,06/01/2006-09/30/2006
Winter '07,12/01/2007-02/29/2008
Winter 07,12/01/2007-02/29/2008
Winter 2007,12/01/2007-02/29/2008
2007 Winter,12/01/2007-02/29/2008
Spring '07,03/01/2007-05/31/2007
Spring 07,03/01/2007-05/31/2007
Spring 2007,03/01/2007-05/31/2007
2007 Spring,03/01/2007-05/31/2007
Summer '07,06/01/2007-08/31/2007
Summer 07,06/01/2007-08/31/2007
Summer 2007,06/01/2007-08/31/2007
2007 Summer,06/01/2007-08/31/2007
Fall '07,09/01/2007-11/30/2007
Fall 07,09/01/2007-11/30/2007
Fall 2007,09/01/2007-11/30/2007
2007 Fall,09/01/2007-11/30/2007
Monsoon '07,06/01/2007-09/30/2007
Monsoon 07,06/01/2007-09/30/2007
Monsoon 2007,06/01/2007-09/30/2007
2007 Monsoon,06/01/2007-09/30/2007
Winter '08,12/01/2008-02/28/2009
Winter 08,12/01/2008-02/28/2009
Winter 2008,12/01/2008-02/28/2009
2008 Winter,12/01/2008-02/28/2009
Spring '08,03/01/2008-05/31/2008
Spring 08,03/01/2008-05/31/2008
Spring 2008,03/01/2008-05/31/2008
2008 Spring,03/01/2008-05/31/2008
Summer '08,06/01/2008-08/31/2008
Summer 08,06/01/2008-08/31/2008
Summer 2008,06/01/2008-08/31/2008
2008 Summer,06/01/2008-08/31/2008
Fall '08,09/01/2008-11/30/2008
Fall 08,09/01/2008-11/30/2008
Fall 2008,09/01/2008-11/30/2008
2008 Fall,09/01/2008-11/30/2008
Monsoon '08,06/01/2008-09/30/2008
Monsoon 08,06/01/2008-09/30/2008
Monsoon 2008,06/01/2008-09/30/2008
2008 Monsoon,06/01/2008-09/30/2008
Winter '09,12/01/2009-02/28/2010
Winter 09,12/01/2009-02/28/2010
Winter 2009,12/01/2009-02/28/2010
2009 Winter,12/01/2009-02/28/2010
Spring '09,03/01/2009-05/31/2009
Spring 09,03/01/2009-05/31/2009
Spring 2009,03/01/2009-05/31/2009
2009 Spring,03/01/2009-05/31/2009
Summer '09,06/01/2009-08/31/2009
Summer 09,06/01/2009-08/31/2009
Summer 2009,06/01/2009-08/31/2009
2009 Summer,06/01/2009-08/31/2009
Fall '09,09/01/2009-11/30/2009
Fall 09,09/01/2009-11/30/2009
Fall 2009,09/01/2009-11/30/2009
2009 Fall,09/01/2009-11/30/2009
Monsoon '09,06/01/2009-09/30/2009
Monsoon 09,06/01/2009-09/30/2009
Monsoon 2009,06/01/2009-09/30/2009
2009 Monsoon,06/01/2009-09/30/2009
Winter '10,12/01/2010-02/28/2011
Winter 10,12/01/2010-02/28/2011
Winter 2010,12/01/2010-02/28/2011
2010 Winter,12/01/2010-02/28/2011
Spring '10,03/01/2010-05/31/2010
Spring 10,03/01/2010-05/31/2010
Spring 2010,03/01/2010-05/31/2010
2010 Spring,03/01/2010-05/31/2010
Summer '10,06/01/2010-08/31/2010
Summer 10,06/01/2010-08/31/2010
Summer 2010,06/01/2010-08/31/2010
2010 Summer,06/01/2010-08/31/2010
Fall '10,09/01/2010-11/30/2010
Fall 10,09/01/2010-11/30/2010
Fall 2010,09/01/2010-11/30/2010
2010 Fall,09/01/2010-11/30/2010
Monsoon '10,06/01/2010-09/30/2010
Monsoon 10,06/01/2010-09/30/2010
Monsoon 2010,06/01/2010-09/30/2010
2010 Monsoon,06/01/2010-09/30/2010
Winter '11,12/01/2011-02/29/2012
Winter 11,12/01/2011-02/29/2012
Winter 2011,12/01/2011-02/29/2012
2011 Winter,12/01/2011-02/29/2012
Spring '11,03/01/2011-05/31/2011
Spring 11,03/01/2011-05/31/2011
Spring 2011,03/01/2011-05/31/2011
2011 Spring,03/01/2011-05/31/2011
Summer '11,06/01/2011-08/31/2011
Summer 11,06/01/2011-08/31/2011
Summer 2011,06/01/2011-08/31/2011
2011 Summer,06/01/2011-08/31/2011
Fall '11,09/01/2011-11/30/2011
Fall 11,09/01/2011-11/30/2011
Fall 2011,09/01/2011-11/30/2011
2011 Fall,09/01/2011-11/30/2011
Monsoon '11,06/01/2011-09/30/2011
Monsoon 11,06/01/2011-09/30/2011
Monsoon 2011,06/01/2011-09/30/2011
2011 Monsoon,06/01/2011-09/30/2011
Winter '12,12/01/2012-02/28/2013
Winter 12,12/01/2012-02/28/2013
Winter 2012,12/01/2012-02/28/2013
2012 Winter,12/01/2012-02/28/2013
Spring '12,03/01/2012-05/31/2012
Spring 12,03/01/2012-05/31/2012
Spring 2012,03/01/2012-05/31/2012
2012 Spring,03/01/2012-05/31/2012
Summer '12,06/01/2012-08/31/2012
Summer 12,06/01/2012-08/31/2012
Summer 2012,06/01/2012-08/31/2012
2012 Summer,06/01/2012-08/31/2012
Fall '12,09/01/2012-11/30/2012
Fall 12,09/01/2012-11/30/2012
Fall 2012,09/01/2012-11/30/2012
2012 Fall,09/01/2012-11/30/2012
Monsoon '12,06/01/2012-09/30/2012
Monsoon 12,06/01/2012-09/30/2012
Monsoon 2012,06/01/2012-09/30/2012
2012 Monsoon,06/01/2012-09/30/2012
Winter '13,12/01/2013-02/28/2014
Winter 13,12/01/2013-02/28/2014
Winter 2013,12/01/2013-02/28/2014
2013 Winter,12/01/2013-02/28/2014
Spring '13,03/01/2013-05/31/2013
Spring 13,03/01/2013-05/31/2013
Spring 2013,03/01/2013-05/31/2013
2013 Spring,03/01/2013-05/31/2013
Summer '13,06/01/2013-08/31/2013
Summer 13,06/01/2013-08/31/2013
Summer 2013,06/01/2013-08/31/2013
2013 Summer,06/01/2013-08/31/2013
Fall '13,09/01/2013-11/30/2013
Fall 13,09/01/2013-11/30/2013
Fall 2013,09/01/2013-11/30/2013
2013 Fall,09/01/2013-11/30/2013
Monsoon '13,06/01/2013-09/30/2013
Monsoon 13,06/01/2013-09/30/2013
Monsoon 2013,06/01/2013-09/30/2013
2013 Monsoon,06/01/2013-09/30/2013
Winter '14,12/01/2014-02/28/2015
Winter 14,12/01/2014-02/28/2015
Winter 2014,12/01/2014-02/28/2015
2014 Winter,12/01/2014-02/28/2015
Spring '14,03/01/2014-05/31/2014
Spring 14,03/01/2014-05/31/2014
Spring 2014,03/01/2014-05/31/2014
2014 Spring,03/01/2014-05/31/2014
Summer '14,06/01/2014-08/31/2014
Summer 14,06/01/2014-08/31/2014
Summer 2014,06/01/2014-08/31/2014
2014 Summer,06/01/2014-08/31/2014
Fall '14,09/01/2014-11/30/2014
Fall 14,09/01/2014-11/30/2014
Fall 2014,09/01/2014-11/30/2014
2014 Fall,09/01/2014-11/30/2014
Monsoon '14,06/01/2014-09/30/2014
Monsoon 14,06/01/2014-09/30/2014
Monsoon 2014,06/01/2014-09/30/2014
2014 Monsoon,06/01/2014-09/30/2014
Winter '15,12/01/2015-02/29/2016
Winter 15,12/01/2015-02/29/2016
Winter 2015,12/01/2015-02/29/2016
2015 Winter,12/01/2015-02/29/2016
Spring '15,03/01/2015-05/31/2015
Spring 15,03/01/2015-05/31/2015
Spring 2015,03/01/2015-05/31/2015
2015 Spring,03/01/2015-05/31/2015
Summer '15,06/01/2015-08/31/2015
Summer 15,06/01/2015-08/31/2015
Summer 2015,06/01/2015-08/31/2015
2015 Summer,06/01/2015-08/31/2015
Fall '15,09/01/2015-11/30/2015
Fall 15,09/01/2015-11/30/2015
Fall 2015,09/01/2015-11/30/2015
2015 Fall,09/01/2015-11/30/2015
Monsoon '15,06/01/2015-09/30/2015
Monsoon 15,06/01/2015-09/30/2015
Monsoon 2015,06/01/2015-09/30/2015
2015 Monsoon,06/01/2015-09/30/2015
Winter '16,12/01/2016-02/28/2017
Winter 16,12/01/2016-02/28/2017
Winter 2016,12/01/2016-02/28/2017
2016 Winter,12/01/2016-02/28/2017
Spring '16,03/01/2016-05/31/2016
Spring 16,03/01/2016-05/31/2016
Spring 2016,03/01/2016-05/31/2016
2016 Spring,03/01/2016-05/31/2016
Summer '16,06/01/2016-08/31/2016
Summer 16,06/01/2016-08/31/2016
Summer 2016,06/01/2016-08/31/2016
2016 Summer,06/01/2016-08/31/2016
Fall '16,09/01/2016-11/30/2016
