Query|Document
Sell Fine Art Online 2/8/18|So you're a new or aspiring artist and your creativity has spawned something  unique  and interesting. Now you're ready to display and sell this creation and perhaps make some money, but you're venturing into the unknown Released 02/08/18
Be Well Read 8/01/21|"If you want to be well-read, then, in the words of William Faulkner, you'll have to ""Read, read, read. Read everything..."" You can start at the very beginning, or just make your way down an eclectic list of books that you'd like to read created 08/01/21"
Pick a Stage Name 4/24/10|Stage names are used by all types of performers, from musicians, actors and roller derby athletes to burlesque dancers, belly dancers, and exotic dancers published 04/24/10
Get More Burlesque Gigs 1/18/17|"Burlesque in the U.S. is one of the few art forms that promotes the idea that ""anyone can do it."" But in saturated markets like New York City and Chicago, two years into the business, many burlesque performers find themselves reassessing the profitability released 01/18/17"
4/18/20 get a Record Deal With Phantom City Studio|Posted 04/18/20 this article describes a general idea on how to get a record deal from Phantom City Studio. In order to get a record deal and get signed by a record label you must first create a music demo.
Buy on Ticketmaster 03/28/11|Ticketmaster is a notorious and known website where people can purchase tickets to different shows of any kind without having to go to an actual box office Released 03/28/11
Become a Famous Artist12 months ago current date:12/12/38|Your dream of becoming a famous artist may not be as far-fetched as it might seem: child prodigy Sir John Everett Millais was one of the founders of the Pre-Raphaelite  [1]   movement, and won a silver medal at the Society of Arts at age nine  [2]  dec of 2037
On 12 months ago current date:12/12/38, reduce Entertainment Expenses|Published Jun '06 according to the Bureau of Labor Statistics, the average American household spent a little more than $2,500 on entertainment in 2011. If you are one of the many who spend too much, here are some easy steps to help you reduce your entertainment expenses.
12 months ago current date:12/12/38 find the Nearest Casino|released jun '06 finding the nearest casino is challenging, especially if casino gambling is not legal in your area. However, there are various means you may use to locate a casino.
Keep Hobby Costs Down 01/8/33|Do you love your hobbies but don't have the money to pursue them to the full extent you'd like? It's not a hopeless cause � here are some good ways to keep your spending in check and still have lots of fun in your free time posted 01/08/33
Conduct a Workshop 05/4/01|Learning how to conduct a workshop is important for educators, business leaders, scientists, and other professionals. A successful workshop provides participants with new skills, information, and a sense of accomplishment released 05/04/01
Create Printed Circuit Boards in 2006 Jun|So you have that circuit designed and ready. You did some computer aided simulations and the circuit is working great. Only one thing left! You need to create a printed circuit board so you can see it in action! Published 06/01/2006-06/30/2006
2006 Jun go Adventuring as a Teen|published 2037 sep do you like to do adventures? Are you too small in doing these? Well, let's read this article for help. Note: This article is mainly for teens and teens must take parental guidance before doing an adventure
2006 Jun cope with a Bedridden Parent|Published 2037 Sep when a parent becomes bedridden, it can hit you hard. Whether you're providing care or just finding someone to help with it, it can take an emotional toll on you.
Be Healthy on 12 months ago current date:07/29/19|Many people think that being healthy is a difficult task, involving months of dieting accompanied by hours at the gym. However, this is not actually true released 07/07/18
Check Your Pulse 11/23/27|Checking your pulse allows you to determine your heart rate without any special equipment. This can be useful if you're trying to lose weight or you have a brain condition Created 11/23/27
Ask God for Something 02/1/50|You have something you want to ask God for, but you don�t know how to go about asking. God hears your prayers, but he doesn't always give you exactly what you ask for Written 02/01/50
Deprogram a Religious Cult Member 21 days ago current date:06/29/16|It can be frightening when a loved one joins a cult. You may not know what to do, or how to help them. Here is how to encourage them to think independently, and keep their heads Published 6/10/16
03/04/40 explore & Understand Value or Quality in Life|published 03/04/40 value or Quality has been a long standing complex part of life. What is quality, what is value? What makes life or gives our lives quality that we can value and appreciate?
Contrast Evolution and Intelligent Design From a Creationist Perspective 12/01/44|Whether you have basic religious questions, or are considering basic ideas in creation, this is not intended to cover the theory of evolution, as such Published 12/01/44
5/7/29 create the Thoughts You Want|Released 05/07/29 we have all started accepting the fact that �thoughts create our world.� While it is an exciting revelation for some, this awareness is making life miserable for others, as they are unable to control negative or destructive thoughts and create positive and creative thoughts.
12/03/32 choose a Crystal That Works for You|Created 12/03/32 there's something quite mystical about crystals that draws the attention of many people, whether you are a practicing spiritualist or not. Many people just do not know where to start when choosing a crystal that's right for them.
Describe Taoism 4/21/24|Taoism is an ancient Chinese religion and Philosophy based on the teachings in the Tao Te Ching by Lao-Tzu. Taoism is often difficult to describe to people who have never heard of it, as the Tao Te Ching is extremely vague in what it is trying to say posted 04/21/24
Know Good from Evil 12/26/41|Ever wondered about how people can be good or evil? We all have good and evil within each of us, yet some will have greater evil than good. Follow this and look at people, observations are key released 12/26/41
In 2049 Feb, coordinate a Spiritual Retreat| written 02/3/2049if you�ve been put in charge of planning a spiritual retreat for your organization, let us help you maximize the experience with some helpful planning tips and suggestions.
Teach and Avoid the Dangers of Fake Faith Healers on 2049 Feb| Here is how to teach and also avoid the dangers of fake faith healers.  Posted 09/01/2038-09/30/2038
Talk to God 06/07/41|Talking to God involves a very spiritual, personal, often private, relationship. With so many religions and popular opinions about relating to God, figuring out how you should talk to God may seem complicated released 06/07/41
Start a Brotherhood 12/04/16| Are you and your friends thinking about starting a brotherhood? This how-to will help along the way.  Created 12/04/16
Set up a Worship Set on 12 months ago current date:02/19/22|Did you want to have a successful worship song set? This article will explain how to worship in a way that is both easy to play, and allows others to worship uninterrupted as well released 2/13/21
Save Yourself on 12 months ago current date:02/19/22|Escaping the deep grooves of a life rut requires willpower, planning, and resolve. You can save yourself. Learning to identify the bad situations and behaviors that keep you feeling low is the first step in a significant transformation that can and will help you out released 2/13/21
08/6/11 restart Your Life|written 08/06/11 many reasons may prompt you to hit the �refresh� button on your life. Perhaps you are going through a divorce, overcoming an addiction, healing from a serious injury or illness, or rebuilding after an emotional wound like betrayal.
Remember Your Past Lives 08/6/11|Have you been an astronaut? A pioneer? An actress, or a former king? Would you like to find out? Discovering your past life can be fun. It's easy, relaxing, and you don't need a Hollywood hypnotherapist to go exploring! released mar 2049
Be an Idealistlast month current date: 6/13/2046|Anyone could have some strongly held ideals, without being an idealist all the time. Ideals are  not  just rules to be broken. The idealist almost all of the time has  strong beliefs or character  even if not expressed and probably lives by holding definite ways, perhaps some like absolutes, laws10 months ago current date:03/30/47
Be a Student of All Religions 11/8/34|How do you study  religion ? Consider whether you will search religion as definite faiths, personal morality and ethics--or religion as philosophy, common beliefs, real Truth or religious opinion released 11/08/34
On 11/8/34, baptize Someone|Posted Apr '22 when someone is ready to ask God�s forgiveness for sins and accept Jesus as their Savior, it�s time for them to be baptized. The process for baptizing someone includes making some preparations ahead of time.
2/1/08 be a Fascist|published 02/01/08 fascism (from the Latin word fascis) is an oft-misunderstood ideology, equated with war and violent tyranny. Both the modern-day left and right wings use it as a buzzword for anything that they consider to be threatening, be it increased state authority or socialized medicine.
Avoid Temptation to Sin on 2/1/08|Human beings are naturally inclined towards sin.  Everyone  feels the urge to sin at some point because sinning gives us tangible yet fleeting benefits at the cost of moral and spiritual ones Released 03/01/2010-03/31/2010
Become Superior To Others 07/08/28|Many humans were worshiped throughout history as gods. The Japanese emperors, the Egyptian pharaohs, the ancient Roman Emperors; all of them were official deities within their state religion, and yet there are very few who honor them as deities today (though a few who worship the Japanese Emperor as a deity still remain.) written 07/08/28
05/7/16 become More Spiritual|published 05/07/16 do you sometimes feel like you've lost yourself, or that you're not really yourself at all? Or do you simply want to grow or become who you should be?
Become Lutheran 9/9/36|Lutheranism is a denomination of the Christian Church. Lutherans believe that a person is not saved by being good, but only by God's grace through faith in Jesus Posted 09/09/36
Test for Down Syndrome 7/7/44|Down syndrome is a chromosomal abnormality (genetic disability) in babies that leads to predictable mental and physical characteristics, such as certain facial features (slanted eyes, thick tongue, low-set ears), small single-creased hands, heart defects, hearing problems, learning disabilities and reduced intellect written 07/07/44
Treat Cyclical Vomiting Syndrome 06/5/32|Getting  diagnosed  with Cyclic Vomiting Syndrome (CVS) can feel pretty upsetting � but diagnosis is half the battle! Now that you know the problem you can start treatment to ease your symptoms created 06/05/32
Spring 02recognize the Signs of Down Syndrome|05/23/02down Syndrome is a condition wherein a person is born with a partial or full extra copy of the 21st chromosome. This extra genetic material then alters the normal course of development, causing various physical and mental traits associated with Down Syndrome.
08/06/19 recognize Category C Bioterrorism Agents|"released 08/06/19 according to the CDC, category C bioterrorism agents are the ""third highest priority agents, [including] emerging pathogens that could be engineered for mass dissemination in the future because of availability, ease of production and dissemination, and potential for high morbidity and mortality rates and major health impact."""
Prevent Amebiasis middle of last year current date: 3/8/2038|Travel is a wonderful way to expand your mind and experience the world! However, living in or traveling to a tropical area that doesn�t have good sanitation can put you at risk for amebiasis � it's most common in India, parts of Africa, and parts of Central and South America created 7/05/37
Develop a Strong Immune SystemSpring 2042|Your  health  is one of the most valuable things you have. While there are ways to help you get over sickness faster, one of the best ways to fight illness is to prevent it5/9/42
Clean Dentures 09/18/01|It is important to establish a dental hygiene routine to care for your dentures. In fact, you must clean dentures with more diligence than you ever cleaned your natural teeth released 09/18/01
03/09/45 prevent Anisakiasis from Parasites in Fish|Released 03/09/45 anisakiasis is a parasitic infection of the gastrointestinal tract by larval nematodes of the family  Anisakidae , including genera  Anisakis ,  Phocanema ,  Contracaecum ,  Terranova .
last month current date: 11/26/2029clean a Loofah or Natural Sponge|10/08/29a loofah, also known as a sponge, is used for exfoliating dead skin and as a general-purpose sponge for personal hygiene. There are natural loofahs, which come from the fibrous skeleton of the loofah fruit, and loofahs made from plastic and synthetic material.
05/01/42 protect Yourself from Gym Germs|Written 05/01/42 gyms can be dirty places. With all those people using them and all that sweat pouring over the equipment, gyms are the ideal breeding ground for bacteria and germs.
Share a Drink Without Spreading Germs 05/01/42|Spreading germs through sharing drinks is well documented. The CDC does not recommend sharing drinks to avoid contracting diseases like mono or the common cold published 08/22/2033
1/24/10 care for Flu Patients Without Getting Sick|published 01/24/10 if you are caring for a person with the flu and want to avoid getting sick, it is important to practice preventative strategies. With careful hand washing, keeping space between yourself and the infected person, and cleaning and disinfecting any shared surfaces, among other strategies, you can greatly decrease your chances of catching the flu.
On last year current date: 8/2/2049, spit|Published 09/5/48 sometimes, you just gotta. If you absolutely, positively have to spit, you can learn to do it as courteously and cleanly as possible to get it over with.
On last year current date: 8/2/2049, sanitize a Public Toilet|Published 09/5/48 public restrooms often harbor different kinds of bacteria and germs that can make you sick. Although it�s unlikely that you will contract any serious diseases from a toilet seat, you may nevertheless want or need to sanitize public toilets before using them.
Start a Day in a Healthy Waylast month current date: 1/2/2013|Mornings can be very busy and sometimes it�s hard to remember to be healthy. If you feel like your morning routine has become unhealthy and you�d like to make some changes, there are simple things you can do to improve it2014 New Year's Day
08/3/26 use the Bathroom Outdoors|Published 08/03/26 if you ever need to relieve yourself outside without the conveniences of indoor plumbing, you might be in for a surprise. It can be quite difficult to find a good spot and urinate or defecate without making a mess or being seen, and without leaving behind evidence of your deed.
5/19/35 safely Use a Public Bathroom|Published 05/19/35 using a public bathroom can be an uncomfortable proposition, as many people are hesitant to enter a public facility due to fears of coming in contact bacteria and germs.
03/13/31 wash Hair in a Sink|posted 03/13/31 there are numerous reasons why you may not want to wash you hair in the shower. Perhaps you are in a hurry, perhaps you just got a new tattoo, or maybe you wear hair extensions.
06/14/06 use UV to Sanitize Water|Published 06/14/06 drinking water is essential to living; however, it is important that the water you drink is not contaminated with microorganisms that can make you very sick.
Eat Right While Pregnant 08/04/13|Good nutrition during pregnancy, and enough of it, is very important for a baby to grow and develop. When you're pregnant you need to pay extra attention to what you eat, so both you and the baby will be happy and healthy published 08/04/13
08/04/13 grow Taller|Published 2047 February your height is largely determined by both your genetics as well as environmental factors. Although several factors that determine your height are out of your control, there are a few things such as your height stays the same.
Dress Fashionably When You�re Pregnant 4/17/18|Pregnancy  is no longer considered a time in a woman�s life when she has to wear baggy clothes. Many celebrities have made it fashionable to proudly show their growing stomachs, and the general public is following suit written 04/17/18
7/31/05 get Well Fast|Published 07/31/05 when you're not feeling well, all you can think about is how to feel better fast. It's helpful to already have a strategy and supplies on hand, so when sickness strikes you'll know what to do.
Give Yourself a Deep Cleansing Facial 1/10/19|Getting a facial is a relaxing but pricey endeavor. Fortunately, you can make your skin smoother, softer, and less irritable by giving yourself a facial and re-creating the professional experience right at home Released 01/10/19
Give Your Body a Basic Post Christmas Detox 11/18/19|Happy new year! Hopefully, you had a great time during the festive season and you are looking forward to the rest of your year. Feeling very positive about the year ahead but maybe a little guilty about your over-indulgences Written 11/18/19
In the month of 2036 Aug keep Healthy| created 08/01/2036-08/31/2036one of the most important things in life is to be healthy--not just physically, but mentally and emotionally as well. Follow these steps to create a well-balanced, healthy life.
3/20/05 keep a Health Journal|Created 03/20/05 a health journal or diary helps one keep track of any relevant information about his wellness in general. It is kept mostly by people who have chronic conditions to monitor the progression of the disease, to note the presence of new symptoms, and to keep track of medications.
Improve Your Health with Turmeric 3/20/05|Turmeric, also known as Curcumin, has been used for thousands of years to help fight off infection, reduce inflammation, help with digestive issues, and even fight off certain cancers released feb of 2050
Get Well During Your Hospital Stay on 3/20/05|Recuperating and recovering from surgery, procedures, or hospitalization from infections can be overwhelming. Planning to be healthy on a daily basis can help make being ill and recovering from procedures an easier process to overcome Published 02/01/2050-02/28/2050
01/14/45 improve Your Health During Spring Semester|published 01/14/45 spring semester can be harder on you because you only have a small time to rest from fall semester before you have to be back at school again. It can also take its toll on you because the winter weather during the beginning of the semester can often break down your immunity.
Lead a Healthy Life end of last year current date: 5/1/2040|To lead means to take charge and guide. By deciding to lead a healthy life, you're deciding to assume command over your own habits and actions. Take care of the basics by eating, exercising, and sleeping published 11/05/39
Limit Your Exposure to Lead 2/9/10|Lead, also known as Pb on the periodic table or  plumbum  in Latin, has been widely used for about 7000 years because of its weight and soft properties written 02/09/10
2022 Monsoon know if You Have Spondylosis|posted 6/4/22 spondylosis (also known as cervical spondylosis or cervical osteoarthritis) is the degeneration of spinal discs in the neck. While it is a common condition among older people, symptoms develop slowly over time and vary greatly from person to person.
Know Whether You Should Get Eye Correction Surgery 5/21/27|Eye correction surgery, which is commonly referred to as Lasik (Laser-assisted in situ keratomileusis) surgery, has been around since the 1980s. This surgery can help or correct problems such as nearsightedness, farsightedness, and astigmatism Written 05/21/27
5/21/27 maintain a Nice Healthy Glow|published october '46 do you want to know how to maintain a healthy complexion? There are just a few simple steps, which will leave you looking fresh faced, and loving your glow!
Maintain an Erection on 5/21/27|Low libido can be caused by many different things including medications, fatigue, recreational drugs, alcohol, depression, relationship problems, fear, systemic illness, and testosterone deficiency written december 2028
During the month of Jul of 2035, maintain Healthy Kidneys| written 07/01/2035-07/31/2035your kidneys are vital organs that function mainly as filters and, therefore, have a big impact on fluid and electrolyte balance, blood pressure regulation, urine creation, red blood cell production and energy levels.
Lower TSH Levels Fast Jan 2001|Having high thyroid-stimulating hormones (TSH) leads to a condition called hyperthyroidism. Hyperthyroidism pushes your metabolism into overdrive, causing difficulty sleeping, moodiness, extreme weight loss, and an enlarged thyroid published jan 2001
Jan 2001 flavor Cigars or Pipe Tobacco|written march of 2003 you can flavor cigars and pipe tobacco at home with some simple methods and ingredients. This is a great way of revitalizing dry tobacco products or improving the flavor of lower quality ones.
Make Smoke Pipes From Everyday Objects 5/9/30|Can't remember where you put your pipe? Bummer! Not to worry, you have things around your house�- even in your refrigerator!�- that will fit together to help you vaporize your favorite herbal remedies Posted 05/09/30
Make a Water Bottle Bong 05/30/05|Need a bong and don�t have one around? This wikiHow will show you how to make a bong out of a water bottle. Best of all, you can recycle the bottle when you�re done! Posted 05/30/05
Make an Apple Pipe 5/06/15|If you find yourself with something to smoke and no pipe to be found, try making one out of an apple. This wikiHow will show you two different ways of making one released 05/06/15
On end of last year current date: 6/17/2028, smoke a Pipe Instead of Cigarettes|Released 2027 December pipes are fun, challenging, and arguably more socially acceptable than cigarettes. They also don't cause lung cancer as fast as cigarettes do, although they can cause oral cancer.
On 5/06/15, sift Herbs for Smoking Use|"published 2017 oct the procedure described below produces two uniform particle sizes, each of which can be smoked, or ""semi-vaporized"" at minimum temperature (385F/197C), in a screened   long-drawtube one-hitter  , permitting user to receive maximum benefits of herbal ingredient while minimizing amount smoked and carbon monoxide and other combustion toxins."
On 5/06/15, make a Waterfall Bong|created 2017 oct as the great Bob Marley once said, herb is a plant. Herb is so good for everything.  [1]   Sometimes, however, you may be looking for a new and different way to smoke herb.
On 5/06/15, get Paid for Donating Your Eggs|created nov of 2023 donating your eggs can be a great way to earn extra income and help a family that's struggling to conceive. Egg donation can result in a large payment, which you can then use towards debt or other financial goals.
07/26/12 find Postpartum Depression Support Groups|published 07/26/12 as many as 1 in 7 women suffers from postpartum depression. More serious and long-lasting than the �baby blues,� postpartum depression can involve devastating feelings of sadness, guilt, anxiety, listlessness, and a host of other symptoms after the birth of a child.
Finish College While Raising a Child during July of 2014|For women, getting pregnant and having a child before you finish college can be overwhelming. Many women who find themselves in this position feel it is too hard to be both a parent and a college student Created 07/01/2014-07/31/2014
On Monsoon 40, gain the Appropriate Weight in Pregnancy|Published 8/09/40 you don't need to eat for two when you're pregnant, but you do need to make sure your baby is getting the proper amount of nutrition while in utero.
Find out if the Child Is Really His 08/7/11|Do you want to find out if your child is really his father's? Doubts about a child's paternity can be consuming, tainting the cherished time you spend with your child posted 08/07/11
Get Rid of Stretch Marks on 08/7/11|Stretch marks can occur during sudden changes in body size, such as during pregnancy, puberty, or rapid weight-gain. Ninety percent of pregnant women will get stretch marks around their abdomen, hips and thighs, and unfortunately, they seem to be genetic � if your mom had stretch marks, odds are that you will too published 2009 august
5/4/16 increase Fertility With Hypnosis|created 05/04/16 hypnosis is used to increase the chances of conception, either naturally or through IVF. Hypnosis treatments are particularly successful for those couples who have been diagnosed with unexplained infertility.
3/30/26 help Ease Gas During Pregnancy|Created 03/30/26 gas can be one of the most embarrassing and uncomfortable side effects associated with pregnancy. Pregnancy hormones such as progesterone begin to slow your digestive cycle as early as the first trimester of pregnancy.
Hear the Fetal Heartbeat 3/30/26|Hearing your baby�s heartbeat for the first time is a miraculous and exciting moment. Listening to the heartbeat can give doctors important information about your baby's health published jul of 2007
1/1/44 help Your Pregnant Wife Feel Comfortable|Posted 01/01/44 pregnancy is one of the most difficult phases of a woman's life. And every woman expects her man, her companion to be there to sail through it smoothly.
03/12/02 make a Positive Pregnancy Test|written 03/12/02 a pregnancy can be a magical thing, even if it's not  exactly  real. If you want to make a pregnancy test positive for whatever reason, then read on for a way to game the test.
Naturally Treat Diarrhea During Pregnancy 09/14/41|Diarrhea during pregnancy is very common, and can be a sign that labor is near if you�re in your 3rd trimester. Diarrhea can also happen in 1st trimester, because of sudden changes in your body due to sudden dietary alterations, prenatal vitamins, and higher water intake released 09/14/41
Heal Faster from a C Section 10/11/05|A Cesarean section, or C-section, is the surgical birth of a child. The C-section is a major surgery, and healing from one takes longer than healing from a vaginal birth, and requires different techniques created 10/11/05
Maintain Beauty During Pregnancy 7/19/12|Pregnancy brings its own set of beauty challenges, especially when it comes to your skin. Along with an influx of pregnancy hormones, your body is changing rapidly and all of it affects your appearance released 07/19/12
Get Rid of Heartburn when Pregnant 7/19/12|Heartburn is a term used to describe the irritation of the esophagus that results when acid from the stomach is released into the esophagus. Heartburn isn�t a serious problem unless it becomes constant and chronic published 2023 may
Not Get Pregnant 7/19/12|Sexual intercourse with the intention of avoiding a resulting pregnancy requires planning. With family planning skills and contraceptives available to sexually active people today, pregnancy does not need to happen if you are careful and attentive published 2023 may
Prepare for a Pelvic Ultrasound 5/7/14|A pelvic ultrasound scan is done or requested by your doctor to help diagnose some trouble you've been having with your uterus, ovaries and/or early pregnancy created 05/07/14
On Spring '13, raise Your Chances of Having Twins|Written 4/11/13 many couples trying to conceive hope to have twins. Their reasons vary, from ensuring that their child has a close sibling through childhood to simply wanting a large family.
03/10/10 prepare Your Body for Pregnancy|Published 03/10/10 prepare your body for the most exciting series of changes it will undergo in its life! Taking care of your body and preparing it for pregnancy is not difficult and it leads to a series of habits that should accompany you not only in this period, but for the rest of your life.
Prevent and Treat Postpartum Hemorrhage 07/11/11|Postpartum hemorrhage (PPH) is an emergency medical condition, in which there is excessive and potentially life-threatening blood loss from the vagina after birth Written 07/11/11
